"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045055","regulated exocytosis","150/6579","230/18860",0.652173913043478,1.86958504331965,9.7116262362412,4.57883857385662e-21,1.87990944522115e-17,1.29145147829724e-17,"PDPK1/REST/CALM3/PPP3CA/SYNJ1/SYT2/GIT1/PREPL/VAMP2/PPP3CB/BRSK1/PRRT2/FBXL20/NOTCH1/PIP5K1C/SYNGR1/DNAJC5/ATP2A2/SEPTIN5/RAB11FIP2/NAPA/RIMS3/RAB15/TPRG1L/RAB11FIP5/STXBP5/SCAMP5/RAB31/STX1A/SV2A/RAB3A/SNPH/ITGB2/PPFIA3/EFR3A/STXBP1/CD84/CDK5R2/FCER1G/SYT3/RAB26/STX1B/CACNB4/UNC13A/GNAI2/SYK/LAT2/SYP/NAPB/NCKAP1L/KCNB1/FCGR2B/SYT12/TMED10/LGALS9/CCL3/F2RL1/SLC4A8/CPLX1/VAMP8/ABCC4/SNAP23/DOC2A/PRKCB/BTK/CD300A/RAPGEF4/PLEK/FCGR3A/PRKCG/STX11/HLA-F/CADPS2/MILR1/UNC13D/SYNGR3/HYAL3/CDK5/TRPV6/SNCA/SCIN/PPFIA2/ADGRE2/RPH3A/VAMP3/RAP1B/DOC2B/BAIAP3/LYN/ERC2/SNAP25/ITGAM/SYT4/IL13RA2/SYT15/PCLO/RIMS1/SYT5/STXBP2/SYN1/SV2B/ABCA12/UNC13C/PIK3CG/SYT1/HCK/STEAP2/SYT7/CCR2/P2RY1/SYNGR2/SYT13/RIMS2/CHGA/SPI1/SYN2/KLRC2/CPLX2/CACNA1B/SYT10/RIMS4/RAC2/RASGRP1/PLA2G3/SYT6/FGR/CPLX3/ANXA3/RAB27A/ADRA2A/PFN2/SV2C/FCER1A/OTOF/CADPS/TSPAN18/NKG7/PRAM1/SYT9/IL4R/PTGDS/CRHBP/RAB11FIP1/PTGDR/CLNK/FOXF1/RAB44/CD177/GRP/SYT8",150
"GO:0042391","regulation of membrane potential","264/6579","474/18860",0.556962025316456,1.59664140408396,9.62900337145674,5.93124923559283e-21,1.87990944522115e-17,1.29145147829724e-17,"CALM3/PPP3CA/CACNB3/DLG4/GOT1/CNTNAP1/SCN8A/NEDD4/B2M/ATXN1/YWHAH/ABCD1/RNF122/ATP2A2/MEF2C/CLIC1/RIMS3/TSPO/SLC8A1/KCNC3/CRTC1/TREM2/SHANK3/TMEM25/FLNA/SCN1B/CHCHD10/STX1A/BAX/PRKN/RACK1/KCNA2/WDR1/PINK1/KCNH4/PRKAR1B/GSK3A/LTF/CALM1/SCN2B/ANK2/S1PR2/KCNC4/KCNH3/P2RX5/STX1B/ABL1/CACNB4/CAV1/EIF4A3/KCNC1/TRPC5/KCNS1/ATP1B1/MAPK8IP2/KCNH6/PTK2B/TBC1D24/CHRNE/EHD3/UCP2/KCNB1/GLRB/CHRNA9/PRKCZ/RGS4/SCN2A/SLC4A8/ANK3/KCNQ5/KCNQ1/BAIAP2/SLC25A27/CACNA1I/GABBR1/RTL10/RGS7BP/ATP1A1/KCNA1/PYCR1/BEGAIN/KCNMA1/KCNE3/KCNJ9/CDK5/MPP2/NEDD4L/BCO2/NOS1AP/RGS7/SCN1A/CACNB2/GRIN2A/SNCA/MAPT/GRIN3A/KCNQ3/GABRD/OPRD1/SHANK1/KCNIP2/POPDC2/GPD1L/KCTD16/GABRR2/KCNJ11/KCNJ3/KCNH1/AKAP6/CHRNA2/KCNS2/GJC1/KCNE4/KCNK4/FKBP1B/FGF12/KCNQ2/RNF207/RIMS1/GABRB2/ABCC8/CHRM1/SLC8A2/P2RX6/HCN2/PIEZO1/GRM1/ATP1A3/P2RX4/FGF13/CDKN2A/CACNA1C/GRIN2B/CELF4/KCNK3/CD36/SCN4B/TNF/GRIN2C/SCN3B/MLLT11/RELN/CHRNA4/CACNG2/HTR3B/TBX5/DRD1/KCNH5/HCN1/GRM5/GRIA3/SLC8B1/ASIC2/POPDC1/GABRB3/RIMS2/GRIN1/NALCN/CACNA1D/KCNA4/ADRB1/CUX2/KCNV1/KCNB2/CACNA2D1/PTPN3/INSYN1/SOD2/GABRA1/KCNH7/GABRA4/KCNC2/RYR2/KCNG1/NRXN1/KCNA3/CNGB1/ASIC5/HCN4/GABRA3/CHRFAM7A/SLC4A3/CHRNB3/RIMS4/GRIK3/COL6A1/GRIA2/GABRA5/KCNG3/SLC17A7/CHRND/GABRG2/KCNE5/GABRG3/KCNK1/GABRA2/HTR3E/SNTA1/NPFF/KDR/NTRK3/KCNJ5/GABRA6/KCND3/HTR3A/POPDC3/KCNA5/LIPA/CACNA1G/STOX1/GNA14/FXYD1/KCNN2/NETO1/PMAIP1/SLC1A6/GRID1/IFI6/CHRNA7/HTR3C/KCNK9/HSH2D/AGT/CHRNA3/NOS1/SLC24A4/TAFA4/GJD2/PKP2/DCN/KCNA6/INSYN2A/KCNN4/MIR181B1/GABRB1/GLRA3/SLC39A8/SCN7A/CHRNA1/DSP/FZD9/GPR88/SCN5A/CASQ2/KCNE1/ATP1A2/NPPA/CLDN19/ATP1A4/KCNK5/GRIA1/DSG2/TAC1/ABCB5/SLC8A3/KCNF1/CASR/ADRA1A/SLC34A1/MTNR1B/CHRNB4/CBLN1/KCNA7/NTSR2",264
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","216/6579","385/18860",0.561038961038961,1.60832874375966,8.8267105764609,7.33222055201485e-18,1.54929820264074e-14,1.06432969907668e-14,"CMTM3/MAPK9/MAP2K4/NAGLU/YES1/CACNB3/HLA-A/PAK1/BTN3A2/BTN2A2/PAK2/PRKCE/PLEKHA1/ELF1/BTRC/BTN3A1/IRAK4/DGKZ/RAB13/RAB11FIP2/MEF2C/PELI1/GPLD1/IKBKB/LAPTM5/TYROBP/BTN2A3P/TREM2/GDI1/BAX/KLHL6/MAPK10/SLC39A10/GBP1/LILRB4/LTF/MAP3K1/DUSP3/TNIP2/PLCG2/TESPA1/C3AR1/MYD88/FCER1G/CYBA/HLA-DPB1/ABL1/PTPN6/CACNB4/CAV1/FPR3/PLCL2/NFAM1/CLEC7A/NMI/FCGR2C/ITPRIPL1/RELA/SYK/LAT2/CD33/NECTIN2/TLR1/NINJ1/FCGR2A/NCKAP1L/C3/FCGR2B/C5AR1/PRKD2/CD276/THY1/PTPRC/F2RL1/HLA-DRB1/TNFAIP3/BCL10/PRNP/PRKCB/BTK/CD300A/NR1D1/FCGR3A/IFI35/CMKLR1/ZC3H12A/FOXP1/FCGR3B/IRAK1/OAS1/CD14/HLA-G/BTN3A3/PLSCR1/FYB1/NFKBIA/PIK3AP1/MNDA/LYN/ITGAM/THEMIS2/NFATC2/TLR2/LILRB1/SLC39A6/CD53/CD226/KLRK1/RIPK2/FCGR1BP/ITK/ERMAP/FCMR/KLRC4-KLRK1/INPP5D/FCGR1A/FCHO1/LY96/VAV1/CD24/PAK3/TLR6/LIMK1/HCK/RAB29/CBLB/LCP2/IGHG1/MAPK8/HLA-DQB1/LILRA2/LILRB2/CLEC4E/THEMIS/TRDC/CD72/FPR1/COLEC10/CD38/BPIFB1/PTPN22/IGHG2/KLRC2/LGALS3/CD28/TLR5/IGHG3/GATA3/SH2B2/KLRC3/PDE4D/LCK/KLRC4/MYO1G/IGLC3/MIR19A/CR1/LBP/IGHG4/FGR/CD3D/FCAR/NFKBIZ/IGHA1/CD3E/SHB/LIPA/MICB/UBASH3A/TRAT1/ZAP70/LAX1/SH2D1A/FPR2/FCER1A/PIGR/KLRC1/CARD11/PRAM1/CTLA4/IGKC/PSG9/VAV3/TXK/KCNN4/IGHA2/RAB7B/IGLC1/BTNL10P/MIR18A/HHLA2/MIR149/C5AR2/BTNL9/FCN3/CD3G/CLEC12B/BTLA/VTCN1/IGHM/LILRA4/TRGC1/CD19/TRGC2/NCR3/ZNF683/BTNL2/BTNL8/FCN1/CLEC4D/MIR210/CR2/IGLC6/IGHD/CD79B/FFAR2",216
"GO:0007159","leukocyte cell-cell adhesion","239/6579","439/18860",0.544419134396355,1.56068473547884,8.69995085408576,1.88625118206507e-17,2.98923656077762e-14,2.05353187900084e-14,"PDPK1/SLC4A2/PPP3CA/YES1/ACTL6A/TIGIT/CBFB/HAS2/HLA-A/LOXL3/BTN2A2/SOX4/ANXA1/B2M/CD44/YWHAG/IGFBP2/STK10/PELI1/LAPTM5/NR5A2/TGFB1/MSN/VCAM1/SOCS6/RUNX1/ITGB2/HLA-DPA1/HLA-DRA/MAPK3/ADD2/LILRB4/CD86/EFNB1/DUSP3/ZC3H8/HLA-DMB/MDK/TESPA1/SASH3/HLA-DOA/CD74/HLA-DPB1/PAG1/ABL1/PTPN6/CAV1/HAVCR2/ADTRP/VSIG4/ITGB1/FOXJ1/RELA/FERMT3/GPR65/SYK/TWSG1/HLA-DMA/NCKAP1L/PNP/SMARCA2/CASP3/PRKCZ/CD276/ITGA5/SMARCE1/LGALS9/THY1/DOCK8/PTPRC/CD4/HLA-DRB1/SIRPA/ETS1/HLA-E/HLA-DRB5/BCL10/PRNP/HLA-DQA2/NOD2/CD300A/PYCARD/IRF1/OLR1/HSPH1/ITGAL/ZC3H12A/IRAK1/HLA-DQA1/IL1A/AIF1/CCL2/ICAM1/FGL2/STAT5A/HLA-G/RHOH/IL2RA/TGFBR2/HFE/CD1D/SOCS1/CD69/LYN/HES1/RUNX3/IL7R/DUSP10/PLA2G2A/IL18/MADCAM1/LILRB1/BCL6/KLRK1/ERBB2/WNT10B/RIPK2/IL1RL2/KLRC4-KLRK1/FADD/ACTB/CD37/HLX/CDKN2A/FCHO1/TNFSF14/CLECL1/VAV1/CD24/SOX13/CLEC4M/TNF/TNFAIP8L2/AGER/SPN/VNN1/CBLB/PIK3R6/ACTL6B/CCR2/SLAMF1/SELPLG/IDO1/HLA-DQB1/CD80/ALOX5/GPNMB/LILRB2/PDCD1/RASAL3/MIR21/IL2RG/GLI2/HLA-DQB2/RIPOR2/IL4I1/PTPN22/EBI3/LGALS3/CD28/IL1B/GATA3/IL10/RAC2/TNFSF13B/ITGA4/RASGRP1/IL20RB/LEF1/LCK/FUT9/MAP3K8/BMP7/SFTPD/CR1/SELL/F11R/ASS1/NT5E/PECAM1/PDCD1LG2/NFKBIZ/LGALS1/CD3E/SHB/IL15/CLEC4G/XBP1/ADAM8/SIRPB1/CCL5/ITGB7/ZAP70/TNFSF9/CEBPB/IL23A/LAX1/CCL28/KLHL25/ICOS/LAG3/IL6/CX3CR1/CARD11/CTLA4/PLA2G5/IL4R/CD40LG/S100A9/SLC39A8/HHLA2/ASCL2/TBX21/EFNB3/MIR27A/BTLA/VTCN1/EGR3/SELP/IFNL1/DAPL1/IFNB1/HLA-DOB/EPO/IL12B/IGF2/BTNL2/LGALS9C/PCK1/S100A8/IL36B/CD177/CD209/PLA2G2D/CD70/TNFSF11/IFNA2/IL21/LRG1",239
"GO:0042330","taxis","254/6579","476/18860",0.533613445378151,1.52970809846967,8.56727073279021,5.21752831000017e-17,6.61478239141821e-14,4.54419255125699e-14,"MMP2/CMTM3/MYCBP2/NTN1/PIK3CB/SERPINE1/CXCR4/ANXA1/ANO6/NOTCH1/PIP5K1C/PLAU/CXCL16/RAB13/LSP1/TREM2/TGFB1/CSF1/VCAM1/PPIB/ITGB2/RPS19/ITGAV/MAPK3/DUSP3/PLEKHG5/NRP2/MDK/TREM1/WNT5A/C3AR1/FCER1G/PLP2/CD74/CORO1B/FPR3/TNFAIP6/ACKR3/CKLF/PTK2B/SEMA6B/SYK/SEMA5A/NINJ1/NCKAP1L/FLRT2/C3/CXCL8/CXCL10/C5AR1/PRKD2/PTAFR/LGALS9/GPSM3/CCL3/CCL4/F2RL1/CORO1C/NOVA2/HMGB2/CALR/ITGB3/PLXNA3/RHOG/SEMA6A/PTN/MICOS10-NBL1/CX3CL1/CAMK1D/CYP19A1/CCR1/SEMA4F/CMKLR1/TMEM102/AIF1/CCL2/PLAUR/NBL1/RPL13A/VEGFA/EFNA5/CSF1R/CCRL2/GSTP1/DPEP1/RNASE2/PGF/CCR5/BIN2/CMTM7/CSF3R/S100A4/CXCL9/ADGRE2/TYMP/ATOH7/BST1/LYN/CXCR6/DOCK2/LOX/EDNRB/ITGA2/MAP2K1/IL17RA/TBR1/PRKD1/KLRK1/ECSCR/THBS1/KLRC4-KLRK1/ANGPT2/SAA1/P2RX4/TMSB4X/RHO/TNFSF14/NEDD9/VAV1/SERPIND1/CCN1/VEGFD/AGER/CXCL11/PIK3CG/FEZF2/PLGRKT/SPN/L1CAM/PDGFRA/CCR2/SLAMF1/ALOX5/GPNMB/ITGA1/HBEGF/SLC8B1/GPR183/CCL20/F7/SEMA7A/PPBP/ENG/EPHA2/FPR1/IL34/MSTN/CHGA/COLEC10/RIPOR2/ANOS1/SPI1/CXCL3/RIN3/FOSL1/SLIT3/TRPM2/JAML/LGALS3/IL1B/CXCL2/IL10/RAC2/OPN4/LEF1/DUSP1/NRG3/SFTPD/CMTM2/CXCR2/PF4/CCR4/SLIT2/LBP/KDR/CCN3/NTRK3/TGFB2/LTB4R2/TRPV4/CCL8/PTGDR2/EPHA7/CXCL6/TPBG/MIR15A/ADAM8/GDNF/AZU1/CCL5/SEMA4A/CDH13/NRP1/IL6R/SEMA3G/FLRT3/DEFB109B/IL23A/ANGPT1/HSPB1/FPR2/CCL18/CCL28/LGR6/IL6/CX3CR1/HOXB9/CCL26/F3/TAFA4/MIR223/VAV3/XCR1/PLXNA4/CYSLTR1/S100A9/SLIT1/PDGFA/RNASE3/RARRES2/UNC5C/MIR149/C5AR2/CXCL1/CH25H/SUCNR1/NRG1/EGR3/PROK2/FGF18/CCL7/CXCL13/CXCL5/AGTR1/CASR/XCL2/CCL14/CCL3L3/S100A8/FGF10/CCL1/CCL22/PDGFD/FGF8/CXCR1/MIR16-1/FFAR2/MIR424/TNFSF11/LECT2/DEFA1/OR1D2/DEFA1B/S100A7",254
"GO:0006935","chemotaxis","252/6579","474/18860",0.531645569620253,1.52406679480741,8.45774513724332,1.26086379584663e-16,1.1922992372464e-13,8.19080204330479e-14,"MMP2/CMTM3/MYCBP2/NTN1/PIK3CB/SERPINE1/CXCR4/ANXA1/ANO6/NOTCH1/PIP5K1C/PLAU/CXCL16/RAB13/LSP1/TREM2/TGFB1/CSF1/VCAM1/PPIB/ITGB2/RPS19/ITGAV/MAPK3/DUSP3/PLEKHG5/NRP2/MDK/TREM1/WNT5A/C3AR1/FCER1G/PLP2/CD74/CORO1B/FPR3/TNFAIP6/ACKR3/CKLF/PTK2B/SEMA6B/SYK/SEMA5A/NINJ1/NCKAP1L/FLRT2/C3/CXCL8/CXCL10/C5AR1/PRKD2/PTAFR/LGALS9/GPSM3/CCL3/CCL4/F2RL1/CORO1C/NOVA2/HMGB2/CALR/ITGB3/PLXNA3/RHOG/SEMA6A/PTN/MICOS10-NBL1/CX3CL1/CAMK1D/CYP19A1/CCR1/SEMA4F/CMKLR1/TMEM102/AIF1/CCL2/PLAUR/NBL1/RPL13A/VEGFA/EFNA5/CSF1R/CCRL2/GSTP1/DPEP1/RNASE2/PGF/CCR5/BIN2/CMTM7/CSF3R/S100A4/CXCL9/ADGRE2/TYMP/ATOH7/BST1/LYN/CXCR6/DOCK2/LOX/EDNRB/ITGA2/MAP2K1/IL17RA/TBR1/PRKD1/KLRK1/ECSCR/THBS1/KLRC4-KLRK1/ANGPT2/SAA1/P2RX4/TMSB4X/TNFSF14/NEDD9/VAV1/SERPIND1/CCN1/VEGFD/AGER/CXCL11/PIK3CG/FEZF2/PLGRKT/SPN/L1CAM/PDGFRA/CCR2/SLAMF1/ALOX5/GPNMB/ITGA1/HBEGF/SLC8B1/GPR183/CCL20/F7/SEMA7A/PPBP/ENG/EPHA2/FPR1/IL34/MSTN/CHGA/COLEC10/RIPOR2/ANOS1/SPI1/CXCL3/RIN3/FOSL1/SLIT3/TRPM2/JAML/LGALS3/IL1B/CXCL2/IL10/RAC2/LEF1/DUSP1/NRG3/SFTPD/CMTM2/CXCR2/PF4/CCR4/SLIT2/LBP/KDR/CCN3/NTRK3/TGFB2/LTB4R2/TRPV4/CCL8/PTGDR2/EPHA7/CXCL6/TPBG/MIR15A/ADAM8/GDNF/AZU1/CCL5/SEMA4A/CDH13/NRP1/IL6R/SEMA3G/FLRT3/DEFB109B/IL23A/ANGPT1/HSPB1/FPR2/CCL18/CCL28/LGR6/IL6/CX3CR1/HOXB9/CCL26/F3/TAFA4/MIR223/VAV3/XCR1/PLXNA4/CYSLTR1/S100A9/SLIT1/PDGFA/RNASE3/RARRES2/UNC5C/MIR149/C5AR2/CXCL1/CH25H/SUCNR1/NRG1/EGR3/PROK2/FGF18/CCL7/CXCL13/CXCL5/AGTR1/CASR/XCL2/CCL14/CCL3L3/S100A8/FGF10/CCL1/CCL22/PDGFD/FGF8/CXCR1/MIR16-1/FFAR2/MIR424/TNFSF11/LECT2/DEFA1/OR1D2/DEFA1B/S100A7",252
"GO:0006887","exocytosis","206/6579","370/18860",0.556756756756757,1.59605296130604,8.47499916727243,1.31662638597962e-16,1.1922992372464e-13,8.19080204330479e-14,"PDPK1/REST/CALM3/PPP3CA/SYNJ1/ATP13A2/SYT2/PAK1/GIT1/PREPL/VAMP2/PPP3CB/RAB37/BRSK1/RAB40C/ANXA1/PRRT2/FBXL20/ANXA2/NOTCH1/PIP5K1C/SYNGR1/DNAJC5/NSF/ITSN1/RAB13/ATP2A2/SEPTIN5/RAB11FIP2/NAPA/RIMS3/RAB15/TPRG1L/RAB11FIP5/S100A10/STXBP5/SCAMP5/RAB31/STX1A/EXOC6B/SV2A/SCAMP2/PRKN/RAB3A/SNPH/ITGB2/PPFIA3/EFR3A/STXBP1/CD84/RAB8A/RALB/CDK5R2/FCER1G/SYT3/RAB26/STX1B/LIN7B/CACNB4/UNC13A/GNAI2/RAB9A/SYTL4/ATP9A/SYK/EXOC6/LAT2/SYP/NAPB/MYH10/NCKAP1L/KCNB1/FCGR2B/SYT12/TMED10/ARHGAP44/LGALS9/STXBP5L/CCL3/F2RL1/SLC4A8/CPLX1/VAMP8/ABCC4/SNAP23/SDC1/DOC2A/PRKCB/BTK/CD300A/RAPGEF4/PLEK/FCGR3A/PRKCG/STX11/HLA-F/CCR1/CADPS2/TRIM72/MILR1/UNC13D/BRSK2/SYNGR3/HYAL3/YKT6/CDK5/SYTL3/TRPV6/SNCA/SCIN/PPFIA2/ADGRE2/RPH3A/KCNQ3/VAMP3/RAP1B/DOC2B/BAIAP3/LYN/ERC2/SNAP25/ITGAM/SYT4/IL13RA2/GNAO1/SYT15/PCLO/RIMS1/SYT5/VSNL1/STXBP2/SYN1/RAB3C/SV2B/STXBP6/SCAMP1/ABCA12/UNC13C/PIK3CG/SYT1/HCK/STEAP2/SYT7/CCR2/P2RY1/SYNGR2/SYT13/EXOC3L2/ANK1/RIMS2/RAB40B/CHGA/SPI1/SYN2/KLRC2/LGI3/RAB27B/CPLX2/SRCIN1/SMPD3/CACNA1B/SYT10/RIMS4/RAC2/RASGRP1/MYO1G/PLA2G3/SYTL2/WIPF3/SYT6/RAB3B/CCL8/FGR/CPLX3/TRARG1/ANXA3/RAB27A/CCL5/IL1RAPL1/TNFAIP2/LIN7A/ADRA2A/PFN2/RUFY4/SV2C/FCER1A/OTOF/CADPS/TSPAN18/NKD2/NKG7/PRAM1/SYT9/IL4R/PTGDS/CRHBP/SEPTIN4/RAB11FIP1/PTGDR/CLNK/SYTL5/FOXF1/RAB44/CD177/GRP/SYT8",206
"GO:0070661","leukocyte proliferation","199/6579","356/18860",0.558988764044944,1.60245145005132,8.39917540343198,2.46857461303576e-16,1.95603680900421e-13,1.34374910185907e-13,"TP53/SLC4A2/PPP3CA/HLA-A/BTN2A2/SOX11/PPP3CB/ANXA1/TCF3/MYC/BTN3A1/IGFBP2/NMB/MEF2C/PELI1/LAPTM5/TYROBP/TREM2/NR5A2/HPRT1/CD151/TGFB1/MSN/CSF1/VCAM1/ELF4/BAX/SLC39A10/HLA-DPA1/MAPK3/LILRB4/CD86/EFNB1/HLA-DMB/SASH3/MYD88/CD74/HLA-DPB1/PKN1/ABL1/PTPN6/HAVCR2/PLCL2/VSIG4/HELLS/GAPT/FOXJ1/SYK/TWSG1/TNFSF8/NCKAP1L/PNP/NCSTN/CD180/FCGR2B/CASP3/CD276/LGALS9/DOCK8/PTPRC/F2RL1/CD4/CNN2/PURA/HLA-DRB1/TNFAIP3/HLA-E/PRNP/BTK/CD300A/LST1/PYCARD/LMO1/FCGR3A/IRF1/CX3CL1/SLC11A1/FLT3LG/IL1A/AIF1/RPL13A/CSF1R/GSTP1/STAT5A/HLA-G/IL2RA/CSF2RA/TNFRSF1B/TGFBR2/CD1D/BST1/MNDA/LYN/DOCK2/HES1/BST2/IL7R/FLT3/FKBP1B/PLA2G2A/IL18/NFATC2/LILRB1/BCL6/ERBB2/RIPK2/FADD/INPP5D/CD37/CDKN2A/TNFSF14/CLECL1/VAV1/CSF2RB/CD24/AGER/AHR/PIK3CG/IL33/CDKN1A/SPN/CBLB/ATAD5/CCR2/SLAMF1/IDO1/CD80/GPNMB/RIPK3/LILRB2/RASAL3/MIR21/GPR183/JUNB/IL34/RIPOR2/IL4I1/CD38/PTPN22/EBI3/TCIRG1/LGALS3/CD28/HHEX/IL1B/IL10/RAC2/TNFSF13B/RASGRP1/IL20RB/LEF1/TNFRSF9/SFTPD/CR1/CCL8/PDCD1LG2/NFKBIZ/CD3E/SHB/LIPA/IL15/CLEC4G/CCL5/ZAP70/TNFSF9/CEBPB/IL23A/SH2D2A/IL6/CARD11/CTLA4/PLA2G5/VAV3/CD40LG/MIR181B1/CLCF1/HHLA2/ACE/BTLA/VTCN1/IL27/CD19/IFNB1/EPO/IL12B/TAC1/IL5RA/IGF2/BTNL2/LGALS9C/FGF10/CR2/MZB1/CD209/PLA2G2D/CD70/TNFSF11/GAL/IL21",199
"GO:0050863","regulation of T cell activation","220/6579","404/18860",0.544554455445545,1.56107265993357,8.34379079435525,3.49171661583689e-16,2.45933240308778e-13,1.68950077657511e-13,"PDPK1/SLC4A2/PPP3CA/YES1/ACTL6A/TIGIT/CBFB/HLA-A/LOXL3/BTN2A2/SOX4/ANXA1/B2M/YWHAG/IGFBP2/PELI1/LAPTM5/FANCD2/NR5A2/TGFB1/VCAM1/SOCS6/RUNX1/HLA-DPA1/HLA-DRA/MAPK3/LILRB4/CD86/EFNB1/DUSP3/ZC3H8/HLA-DMB/MDK/TESPA1/SASH3/HLA-DOA/CD74/HLA-DPB1/PAG1/ABL1/PTPN6/CAV1/HAVCR2/VSIG4/FOXJ1/CGAS/CAMK4/GPR65/SYK/TWSG1/HLA-DMA/TNFSF8/NCKAP1L/PNP/SMARCA2/CASP3/PRKCZ/CD276/SMARCE1/LGALS9/THY1/DOCK8/PTPRC/CD4/HLA-DRB1/SIRPA/HLA-E/HLA-DRB5/BCL10/PRNP/HLA-DQA2/NOD2/CD300A/PYCARD/LMO1/IRF1/HSPH1/ZC3H12A/HLA-DQA1/IL1A/AIF1/CCL2/FGL2/STAT5A/HLA-G/RHOH/IL2RA/TNFRSF1B/TGFBR2/CYP26B1/HFE/CD1D/SOCS1/CD69/LYN/HES1/RUNX3/IL7R/DUSP10/PLA2G2A/IL18/LILRB1/BCL6/KLRK1/ERBB2/WNT10B/RIPK2/IL1RL2/KLRC4-KLRK1/FADD/ACTB/CD37/HLX/CDKN2A/FCHO1/TNFSF14/CLECL1/VAV1/CD24/SOX13/TNFAIP8L2/CD2/AGER/SPN/VNN1/CBLB/PIK3R6/ACTL6B/CCR2/SLAMF1/IDO1/HLA-DQB1/CD80/PRDM1/GPNMB/RIPK3/LILRB2/PDCD1/RASAL3/MIR21/JUNB/IL2RG/GLI2/HLA-DQB2/RIPOR2/IL4I1/PTPN22/EBI3/LGALS3/CD28/IL1B/BATF/GATA3/IL10/RAC2/TNFSF13B/RASGRP1/IL20RB/LEF1/LCK/TNFRSF9/MAP3K8/SFTPD/CR1/PDCD1LG2/NFKBIZ/LGALS1/CD3E/SHB/IL15/CLEC4G/XBP1/ADAM8/SIRPB1/CCL5/ZAP70/TNFSF9/CEBPB/IL23A/LAX1/KLHL25/ICOS/LAG3/IL6/CARD11/CTLA4/PSG9/PLA2G5/IL4R/CD40LG/HHLA2/TOX/ASCL2/TBX21/EFNB3/MIR27A/BTLA/VTCN1/EGR3/SPINK5/IL27/IFNL1/DAPL1/IFNB1/HLA-DOB/EPO/ZNF683/SIT1/IL12B/IGF2/BTNL2/LGALS9C/PCK1/IL36B/CD209/PLA2G2D/CD70/TNFSF11/IFNA2/IL21",220
"GO:0050900","leukocyte migration","216/6579","397/18860",0.544080604534005,1.55971427291554,8.24960031692903,7.37921637108205e-16,4.67768525762891e-13,3.21345453970173e-13,"MMP2/MMP14/YES1/CD99/CD99L2/SERPINE1/CD9/CXCR4/ANXA1/ANO6/PIP5K1C/IRAK4/CXCL16/STK10/ASB2/TREM2/TGFB1/MSN/CSF1/VCAM1/PPIB/WDR1/ITGB2/RPS19/PLVAP/PAFAH1B1/HMOX1/MAPK3/ADD2/EPS8/MDK/TREM1/WNT5A/C3AR1/MYD88/FCER1G/CD74/ABL1/P4HB/EMILIN1/TNFAIP6/GDF15/ADTRP/ITGB1/CKLF/FOXJ1/PTK2B/SYK/NINJ1/PLCB1/NCKAP1L/C3/CXCL8/CXCL10/C5AR1/HOXA7/RTN4/LGALS9/THY1/GPSM3/DOCK8/CCL3/CCL4/F2RL1/CORO1C/CNN2/CALR/SIRPA/CD200/ITGB3/CD300A/PYCARD/PTN/MICOS10-NBL1/CX3CL1/CAMK1D/CYP19A1/CCR1/CMKLR1/ITGAL/B4GALT1/TMEM102/AIF1/CCL2/ICAM1/NBL1/RPL13A/VEGFA/CSF1R/DPEP1/PGF/CCR5/CSF3R/CXCL9/ADGRE2/PTGER4/CD69/BST1/LYN/EDNRB/ITGA2/MADCAM1/IL17RA/KLRK1/THBS1/KLRC4-KLRK1/FADD/SAA1/P2RX4/TNFSF14/NEDD9/VAV1/VEGFD/TNF/ITGA6/AGER/CXCL11/PIK3CG/IL33/HCK/SPN/CCR2/SLAMF1/SELPLG/ALOX5/RIPK3/ITGA1/SLC8B1/GPR183/TRIM55/CCL20/F7/PPBP/IL34/MSTN/CHGA/ITGA7/RIPOR2/MCOLN2/SPI1/CXCL3/RIN3/SPNS2/TRPM2/JAML/LGALS3/SMPD3/IL1B/GATA3/IL10/RAC2/ITGA4/LCK/DUSP1/MYO1G/FUT9/SFTPD/DBH/SELL/XG/F11R/CXCR2/PF4/SLIT2/LBP/CCN3/TGFB2/TRPV4/CCL8/PECAM1/CXCL6/ADAM8/AZU1/CCL5/ITGB7/IL6R/ZAP70/MIR128-1/IL23A/FPR2/CCL28/IL6/CX3CR1/CCL26/GNAI1/TAFA4/MIR223/VAV3/S100A9/PRTN3/RARRES2/C5AR2/ITGA3/ASCL2/TBX21/CH25H/GPR15/PLG/SELP/CCL7/CXCL13/CXCL5/IL1R1/S100A8/CCL1/CCL22/PDGFD/NLRP12/RET/CXCR1/FFAR2/CD177/TNFSF11/DEFA1/DEFA1B/S100A7",216
